le, lx, se, sx, bw, bsdd, bsdu, total_profit
2, 1, 3, 1, 16, 1.00, 1.00, 9832.94
2, 1, 3, 1, 16, 1.00, 1.50, 9832.94
2, 1, 3, 1, 16, 1.50, 1.00, 9846.32
2, 1, 3, 1, 16, 1.50, 1.50, 9846.32
2, 1, 3, 1, 17, 1.00, 1.00, 9842.77
2, 1, 3, 1, 17, 1.00, 1.50, 9842.77
2, 1, 3, 1, 17, 1.50, 1.00, 9842.55
2, 1, 3, 1, 17, 1.50, 1.50, 9842.55
2, 1, 3, 1, 18, 1.00, 1.00, 9852.10
2, 1, 3, 1, 18, 1.00, 1.50, 9843.88
2, 1, 3, 1, 18, 1.50, 1.00, 9851.88
2, 1, 3, 1, 18, 1.50, 1.50, 9843.66
2, 1, 3, 1, 19, 1.00, 1.00, 9853.56
2, 1, 3, 1, 19, 1.00, 1.50, 9844.33
2, 1, 3, 1, 19, 1.50, 1.00, 9852.89
2, 1, 3, 1, 19, 1.50, 1.50, 9843.66
2, 1, 3, 1, 20, 1.00, 1.00, 9856.48
2, 1, 3, 1, 20, 1.00, 1.50, 9846.99
2, 1, 3, 1, 20, 1.50, 1.00, 9853.15
2, 1, 3, 1, 20, 1.50, 1.50, 9843.66
2, 1, 3, 1, 21, 1.00, 1.00, 9858.84
2, 1, 3, 1, 21, 1.00, 1.50, 9849.35
2, 1, 3, 1, 21, 1.50, 1.00, 9853.15
2, 1, 3, 1, 21, 1.50, 1.50, 9843.66
2, 1, 3, 1, 22, 1.00, 1.00, 9856.51
2, 1, 3, 1, 22, 1.00, 1.50, 9847.02
2, 1, 3, 1, 22, 1.50, 1.00, 9853.15
2, 1, 3, 1, 22, 1.50, 1.50, 9843.66
2, 1, 3, 1, 23, 1.00, 1.00, 9854.17
2, 1, 3, 1, 23, 1.00, 1.50, 9844.68
2, 1, 3, 1, 23, 1.50, 1.00, 9853.15
2, 1, 3, 1, 23, 1.50, 1.50, 9843.66
2, 1, 3, 1, 24, 1.00, 1.00, 9846.22
2, 1, 3, 1, 24, 1.00, 1.50, 9836.73
2, 1, 3, 1, 24, 1.50, 1.00, 9849.37
2, 1, 3, 1, 24, 1.50, 1.50, 9839.88
2, 1, 3, 1, 25, 1.00, 1.00, 9838.05
2, 1, 3, 1, 25, 1.00, 1.50, 9828.28
2, 1, 3, 1, 25, 1.50, 1.00, 9849.65
2, 1, 3, 1, 25, 1.50, 1.50, 9839.88
2, 1, 3, 2, 15, 1.00, 1.00, 9737.40
2, 1, 3, 2, 15, 1.00, 1.50, 9737.40
2, 1, 3, 2, 15, 1.50, 1.00, 9747.49
2, 1, 3, 2, 15, 1.50, 1.50, 9747.49
2, 1, 3, 2, 16, 1.00, 1.00, 9733.27
2, 1, 3, 2, 16, 1.00, 1.50, 9733.27
2, 1, 3, 2, 16, 1.50, 1.00, 9746.65
2, 1, 3, 2, 16, 1.50, 1.50, 9746.65
2, 1, 3, 2, 17, 1.00, 1.00, 9743.10
2, 1, 3, 2, 17, 1.00, 1.50, 9743.10
2, 1, 3, 2, 17, 1.50, 1.00, 9742.88
2, 1, 3, 2, 17, 1.50, 1.50, 9742.88
2, 1, 3, 2, 18, 1.00, 1.00, 9753.28
2, 1, 3, 2, 18, 1.00, 1.50, 9744.21
2, 1, 3, 2, 18, 1.50, 1.00, 9753.06
2, 1, 3, 2, 18, 1.50, 1.50, 9743.99
2, 1, 3, 2, 19, 1.00, 1.00, 9759.98
2, 1, 3, 2, 19, 1.00, 1.50, 9744.66
2, 1, 3, 2, 19, 1.50, 1.00, 9759.31
2, 1, 3, 2, 19, 1.50, 1.50, 9743.99
